Cohesion,m,theta_crit_deg,length_m,width_m
3600,0.89,30.484375,23.9,15.9
3600,0.9,30.078125,23.9,15.9
3600,0.91,29.640625,23.9,15.9
3600,0.92,29.234375,23.9,15.9
3600,0.93,28.828125,23.9,15.9
3600,0.94,28.421875,23.9,15.9
3600,0.95,27.984375,23.9,15.9
3600,0.96,27.546875,23.9,15.9
3600,0.97,27.140625,23.9,15.9
3600,0.98,26.703125,23.9,15.9
3600,0.99,26.265625,23.9,15.9
3600,1.0,25.796875,23.9,15.9
6400,0.5,48.234375,23.9,15.9
6400,0.51,47.859375,23.9,15.9
6400,0.52,47.515625,23.9,15.9
6400,0.53,47.140625,23.9,15.9
6400,0.54,46.765625,23.9,15.9
6400,0.55,46.390625,23.9,15.9
6400,0.56,46.015625,23.9,15.9
6400,0.57,45.640625,23.9,15.9
6400,0.58,45.265625,23.9,15.9
6400,0.59,44.890625,23.9,15.9
6400,0.6,44.515625,23.9,15.9
6400,0.61,44.140625,23.9,15.9
6400,0.62,43.765625,23.9,15.9
6400,0.63,43.359375,23.9,15.9
6400,0.64,42.984375,23.9,15.9
6400,0.65,42.609375,23.9,15.9
6400,0.66,42.203125,23.9,15.9
6400,0.67,41.828125,23.9,15.9
6400,0.68,41.421875,23.9,15.9
6400,0.69,41.046875,23.9,15.9
6400,0.7,40.640625,23.9,15.9
6400,0.71,40.234375,23.9,15.9
6400,0.72,39.859375,23.9,15.9
6400,0.73,39.453125,23.9,15.9
6400,0.74,39.046875,23.9,15.9
6400,0.75,38.640625,23.9,15.9
6400,0.76,38.234375,23.9,15.9
6400,0.77,37.828125,23.9,15.9
6400,0.78,37.421875,23.9,15.9
6400,0.79,36.984375,23.9,15.9
6400,0.8,36.578125,23.9,15.9
6400,0.81,36.140625,23.9,15.9
6400,0.82,35.734375,23.9,15.9
6400,0.83,35.296875,23.9,15.9
6400,0.84,34.890625,23.9,15.9
6400,0.85,34.453125,23.9,15.9
6400,0.86,34.015625,23.9,15.9
6400,0.87,33.578125,23.9,15.9
6400,0.88,33.140625,23.9,15.9
6400,0.89,32.703125,23.9,15.9
6400,0.9,32.234375,23.9,15.9
6400,0.91,31.796875,23.9,15.9
6400,0.92,31.359375,23.9,15.9
6400,0.93,30.890625,23.9,15.9
6400,0.94,30.421875,23.9,15.9
6400,0.95,29.953125,23.9,15.9
6400,0.96,29.484375,23.9,15.9
6400,0.97,29.015625,23.9,15.9
6400,0.98,28.546875,23.9,15.9
6400,0.99,28.078125,23.9,15.9
6400,1.0,27.578125,23.9,15.9
